"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
0,0,0,0,0.27,0,0.39,0.55,0.4,0.56,0.45,0,0.46,0,0.91,0,1.84,1.03,1.04,0,0,0,0,1.34,1.48,1,1.08,0,0,0,0,0,0.83,0,0.96,0,0,0,1.38,0.57,0,0.48,0.72,0,0.75,0.09,0,0.7,0.62,0.67,0.44,0.5,0,0,0,0.52,0.66,0.85,1.39
0.57,0.47,0.45,0.5,0,0.55,0.54,0,0,0,0,0.17,0.41,0.33,0.42,0,0,1,0.43,1.37,2.16,1.57,0.92,1.46,1.69,0,0.78,0.96,0,0,0.78,0.56,0.48,0.47,0.52,0,0.82,0.48,0.6,0.6,0,0.66,0.66,0.95,1.18,0,1.71,0,0,0,0,0,0.8,0,0.94,0,0.58,0,0
0.36,0.46,0.52,0.56,0.57,0.44,0.5,0.53,0.51,0,0,0.53,0.22,0,1.16,0.86,0,0,1.6,1.44,1.8,0,1.64,0,1.82,1.33,1.27,1.19,0,1.21,0,1.26,1.34,0.93,1.21,0,0,0,0,0.93,0,0,1.05,0,0,0.24,0,0.59,0.98,0,1.25,0.63,0,0.63,0,1.31,1.07,0,0
0,0.56,0,0,0.66,0,0,0.57,0.77,0.43,0,0,0,0,0,0,0,0,0,2.24,1.1,1.2,0,0,1.73,1.06,1.74,1.43,1.57,0,1.5,1.35,0.86,1.58,1.92,1.15,0.78,0,0,1.44,1.12,0,0.86,0.98,0,0.9,1.07,1.03,1.3,1.14,0,0,0,0.71,0,0,0,0,0
0,0.45,0.46,0.57,0.48,0.24,0.44,0.48,0.5,0.52,0.55,0.52,0,0.43,1.22,0,0.71,0.57,2.01,1.56,1.13,1.26,1,1.04,0,0,0,1.11,1.23,0.87,1.22,0.61,0.27,0.63,0,0.89,0.91,0.49,0.57,0.64,1.4,1.09,0,1.01,1.19,0.76,0,0,1.31,1.2,1.01,0.9,0.99,0,1.09,1.3,0,0.77,0.6
0.61,1.14,0.75,0.87,1.02,0.73,0.88,0.91,0.7,0.72,0.76,0.63,0.79,0.5,0.6,0.71,0,1.54,1.83,1.5,1.83,1.38,2.18,1.95,2.33,0,1.92,1.74,1.84,0,1.06,1.7,1.01,1.63,1.31,1.21,1.07,1.14,1.36,0,0.86,1.45,1.06,1.32,1.02,1.32,1.22,1.8,1.41,0,2.51,0.96,0,1.05,0.45,1.19,0.8,1.16,1.12
0.47,0.45,0.45,0.5,0,0.46,0.56,0.36,0.51,0.44,0.56,0,0,0,1.05,2.17,0,2.17,1.72,1.61,1.39,1.7,1.6,1.37,1.55,0,1.28,1.33,1.34,1.22,1.33,1.32,1.7,1.39,0,1.14,0,1.8,1.16,0.95,1.06,1.12,1.22,1.14,1.28,0,1.18,0.86,0.74,0.59,0.91,0.73,0.71,0,0,0.76,0,1.01,0
0.48,0.49,0.47,0.44,0.37,0,0.52,0.47,0.3,0.24,0.47,0.44,0,0.49,0.58,1.52,1.38,1.5,0.72,0,1.27,0.97,1.44,0.78,0,1.32,0,0,0,0,1.09,0.79,0.81,0,0.94,0.47,0.72,0.77,0.84,1.05,0.87,0.63,0.68,0.61,0.36,0,0,0,0.61,0.43,0,0.16,0,0.53,0.31,0.24,0.49,0.46,0.56
0,0.48,0.46,0,0,0,0,0,0,0.45,0,0.72,0.45,0.42,0,0.77,0,0.4,0.86,1.87,2.71,0,1.22,0.69,1.11,1.54,1.82,1.75,1.07,1.03,0,1.57,1.14,1,1.66,0.92,0.99,0,0.8,0,0.43,0,0.82,0.96,0.61,0.55,0.69,0.64,0,0,0.51,0.58,0,0,0.67,0.47,0.4,0,0.75
0.41,0.54,0.48,0.51,0,0.56,0.45,0,0.47,0,0,0.55,0.39,0.51,0.52,1.59,1.75,2.05,2.08,1.72,1.4,2.16,1.24,1.34,1.5,1.25,1.29,1.51,1.91,1.57,2.17,1.66,1.4,1.79,1.72,1.49,1.52,1.31,1.33,1.51,1.65,1.8,1.3,1.42,1.32,1.11,1.38,1.91,1.35,1.43,1.38,1.41,1.47,1.36,1.4,1.47,1.47,1.3,0.95
NA,NA,0,0.38,0.34,0.28,1.19,0.2,0,0,0.46,0.58,0.37,0.32,0,4.09,1.9,1.79,1.83,2.12,1.59,1.32,1.22,1.61,1.29,1.06,1.31,0.98,1.1,0.72,0.89,0.79,1.56,1.44,0,0,0,1.28,0.99,0,0,0.83,1.24,1.43,0.21,0,0.6,1.26,0,0,0,0,1.86,0,0,0,1.39,0.82,1.58
0.21,0,0.51,0.63,0.74,0.55,0.53,0,0.68,0.56,1.01,0.6,0.64,0,0.23,1.58,1.47,0,1.09,1.52,0,0,0.81,1.03,0.99,0.69,0,1.24,1.09,1.59,0,1.25,0,0.63,0,0.87,0.64,0.94,0.62,1,0,1.07,0.82,1.11,0.56,1.78,0.26,0.8,0.66,0.56,0.33,0.1,0.16,0,1.23,0,0,0,0.41
0.74,0,0,0,0.37,0.31,0,0.38,0,0,0.72,0.7,0.37,0.46,0.87,2.13,0,0,1.29,1.39,0.89,0.88,0.92,0.47,0.79,1.63,0,1.34,2.17,2.23,0,1.1,1.05,0.35,1.78,2.19,0,0.68,0,1.04,0.71,0,0,0.97,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0.66,1.52
0,0,0.48,0.49,0.51,0.31,0,0.5,0,0,0.39,0.27,0.79,0,0,1.18,0.45,0,0,0,0,0.84,0,0,0,0,0,1.38,0.48,0,0,0,0,0,1.29,0.74,0.89,1.35,0.79,0,0,0,1.47,0.33,0,0,0,1.15,0.81,0.55,0.7,0,0.76,1.19,1.04,0,1.15,0,1.03
NA,NA,0.62,0.57,0.7,0,0.56,0.52,0.77,0.44,0,0.56,0.87,0.7,0.94,0.92,0.84,0.35,2.05,1.25,1.76,1.6,1.13,1,0.97,0.74,1.07,1.44,2.04,1.4,1.37,1.26,1.32,1.14,0.89,1.26,1.09,1.22,1.33,0.87,0.92,1.34,1.01,0.89,0,1.28,0,1.29,0.91,1.62,0,1.15,0,0.99,0.76,0.68,0,1.26,0.74
